,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
1447,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.92,655,60.0
1114,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",37.27,973,17.97
1064,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.4,85,rainfed,20.0,770,17.19
2287,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.96,1299,88.26
1537,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.3,105,rainfed,25.26,800,50.58
668,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.9,75,"irrigated,rainfall",15.78,347,15.93
1583,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
2404,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.3,170,irrigated,17.16,712,68.81
497,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,79,"irrigated,rainfall",43.62,422,93.14
2480,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.6,173,irrigated,17.88,629,71.55
471,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.0,79,"irrigated,rainfall",38.96,417,88.85
246,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
923,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,25.97,673,18.11
1131,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
670,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.38,350,19.95
916,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120,rainfed,25.33,506,16.99
1414,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.92,655,60.0
1606,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,125,rainfed,24.57,930,80.02
402,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.2,77,"irrigated,rainfall",39.77,437,84.55
1103,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
2072,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.0,129,"irrigated,rainfall",23.39,500,89.67
719,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,96,"irrigated,rainfall",36.2,524,16.67
2011,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.1,142,"irrigated,rainfall",24.66,500,89.16
2436,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.1,170,irrigated,17.48,705,67.87
196,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.4,81,"irrigated,rainfall",21.34,640,57.9
891,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.94,500,19.87
1264,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",31.96,974,63.8
1034,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.7,83,rainfed,20.0,811,18.17
1325,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.33,460,51.98
509,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.1,102,"irrigated,rainfall",26.61,1189,19.94
1427,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,116,"irrigated,rainfall",29.92,1000,60.0
194,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.75,619,56.64
1179,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,71,"irrigated,rainfall",38.75,986,18.0
2032,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.26,500,95.01
932,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.9,120,rainfed,25.99,635,18.15
1124,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
1822,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,148,"irrigated,rainfall",18.83,614,65.0
1366,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.01,517,51.88
1992,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.4,89,"irrigated,rainfall",22.12,425,92.08
1258,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.5,100,"irrigated,rainfall",34.61,998,60.21
2274,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.96,1298,73.06
1273,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",30.15,956,65.48
1936,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.3,90,"irrigated,rainfall",21.83,425,90.25
1266,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",29.36,965,66.14
772,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,100,"irrigated,rainfall",26.15,742,19.85
1608,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,7.0,120,rainfed,18.08,1395,80.94
1311,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.01,517,51.88
134,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.97,650,50.23
1855,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,148,"irrigated,rainfall",17.87,622,65.0
2399,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1580,79.44
420,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
1755,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.56,463,89.75
707,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,91,"irrigated,rainfall",32.76,615,15.76
